Name,Date,Venue,Time,Notes
Casa Samba,1995-05-05,Parade,5:15 PM,
P&P-S&S SAPC,1995-05-06,Parade,4:40 PM,
Dr. John,1995-04-28,WWL/Ray-Ban Stage,5:45 PM,
Los Lobos,1995-04-28,WWL/Ray-Ban Stage,4:00 PM,
Jump 4 Joy,1995-04-29,Lagniappe Tent,4:25 PM,
Jolly Bunch SAPC,1995-04-29,Parade,4:00 PM,
Treme Brass Band,1995-04-30,Parade,4:00 PM,
Young Steppers,1995-05-05,Parade,4:00 PM,
Olodum of Brazil,1995-05-05,Parade,5:15 PM,
Al Green,1995-05-05,WWL/Ray-Ban Stage,6:00 PM,
Tasso,1995-05-06,Lagniappe Tent,2:35 PM,
Neslort,1995-05-06,WWOZ Jazz Tent,11:15 AM,
Unknowns SAPC,1995-05-07,Parade,2:00 PM,
The Lil' Rascals,1995-05-07,Parade,4:00 PM,
B.B. King,1995-05-07,WWL/Ray-Ban Stage,4:00 PM,
Caliente,1995-04-28,Lagniappe Tent,5:45 PM,
Original Four SAPC,1995-04-29,Parade,2:00 PM,
Money Wasters SAPC,1995-04-29,Parade,4:00 PM,
Jetsetters SAPC,1995-04-30,Parade,12:00 PM,
Prince of Wales SAPC,1995-04-30,Parade,2:00 PM,
Ray Charles,1995-04-30,WWL/Ray-Ban Stage,6:00 PM,
Ancestro,1995-05-04,WWL/Ray-Ban Stage,1:00 PM,
Eddie Bo,1995-05-05,House of Blues Stage,4:35 PM,
New Birth Brass Band,1995-05-05,Parade,4:00 PM,
Koko Taylor,1995-05-05,WWL/Ray-Ban Stage,2:40 PM,
Tania Maria,1995-05-05,WWOZ Jazz Tent,5:50 PM,
Tornado Brass Band,1995-05-06,Parade,2:00 PM,
Little Feat,1995-05-06,WWL/Ray-Ban Stage,4:15 PM,
Davell,1995-05-07,House of Blues Stage,3:20 PM,
Kim Carson,1995-05-07,Lagniappe Tent,3:15 PM,
Ladies Zulu SAPC,1995-05-07,Parade,12:00 PM,
Olympia Aid SAPC,1995-05-07,Parade,12:00 PM,
Devastation SAPC,1995-05-07,Parade,2:00 PM,
John Rankin,1995-04-28,Lagniappe Tent,3:00 PM,
Song of Life,1995-04-29,Lagniappe Tent,12:20 PM,
Sonny Rollins,1995-04-29,WWOZ Jazz Tent,5:40 PM,
Pinettes Brass Band,1995-04-30,Parade,2:00 PM,
LJ Hamilton,1995-04-30,WWL/Ray-Ban Stage,11:15 AM,
Abbey Lincoln,1995-04-30,WWOZ Jazz Tent,4:40 PM,
Bon Temps Roulez SAPC,1995-05-04,Parade,4:00 PM,
BeauSoleil,1995-05-04,WWL/Ray-Ban Stage,3:45 PM,
James Taylor,1995-05-04,WWL/Ray-Ban Stage,5:30 PM,
Fuego,1995-05-05,Fox 38/Polaroid Stage,11:15 AM,
UNO Jazz Band,1995-05-05,Lagniappe Tent,3:10 PM,
Yomo Toro,1995-05-06,Congo Square Stage,5:40 PM,
Tornado Brass Band,1995-05-06,Parade,12:00 PM,
Pin Stripe Brass Band,1995-05-07,Parade,2:00 PM,
The Furious Five SAPC,1995-05-07,Parade,4:00 PM,
Lump,1995-04-28,BellSouth Moblity Stage,2:50 PM,
Blues Traveler,1995-04-28,WWL/Ray-Ban Stage,2:30 PM,
Tab Benoit,1995-04-28,House of Blues Stage,4:10 PM,
Herman Jackson,1995-04-28,WWOZ Jazz Tent,11:30 AM,
Nicholas Payton,1995-04-28,WWOZ Jazz Tent,3:00 PM,
Black Men of Labor SAPC,1995-04-29,Parade,12:00 PM,
Golden Trumpets SAPC,1995-04-29,Parade,12:00 PM,
Calendar Girls SAPC,1995-04-29,Parade,12:40 PM,
The Chosen Few Brass Band,1995-04-29,Parade,4:00 PM,
Little Milton,1995-04-29,WWL/Ray-Ban Stage,2:45 PM,
Wilson Pickett,1995-04-29,WWL/Ray-Ban Stage,4:15 PM,
Gladys Knight,1995-04-29,WWL/Ray-Ban Stage,5:50 PM,
Astral Project,1995-04-29,WWOZ Jazz Tent,1:50 PM,
Earl King,1995-04-30,Fox 38/Polaroid Stage,6:00 PM,
Michael Ward,1995-04-30,Lagniappe Tent,4:30 PM,
Pinettes Brass Band,1995-04-30,Parade,12:00 PM,
Scene Boosters SAPC,1995-04-30,Parade,12:00 PM,
Scott Goudeau,1995-04-30,WWOZ Jazz Tent,12:50 PM,
Straight Ahead,1995-04-30,WWOZ Jazz Tent,3:20 PM,
Don Rousell,1995-05-04,Congo Square Stage,6:00 PM,
Deacon John,1995-05-05,House of Blues Stage,3:15 PM,
John Parker,1995-05-05,Lagniappe Tent,12:30 PM,
The funky Meters,1995-05-05,WWL/Ray-Ban Stage,4:15 PM,
Phillip Manuel,1995-05-05,WWOZ Jazz Tent,12:25 PM,
Front Page,1995-05-06,Congo Square Stage,12:20 PM,
Robert Lowery,1995-05-06,Lagniappe Tent,5:30 PM,
Lady Sequences SAPC,1995-05-06,Parade,12:00 PM,
Avenue Steppers SAPC,1995-05-06,Parade,4:00 PM,
Looney Tunes Brass Band,1995-05-06,Parade,4:00 PM,
Jimmie Vaughan,1995-05-06,WWL/Ray-Ban Stage,2:30 PM,
Joni Mitchell,1995-05-06,WWL/Ray-Ban Stage,6:00 PM,
Eric Gable,1995-05-07,Congo Square Stage,4:15 PM,
Willie Tee,1995-05-07,House of Blues Stage,2:00 PM,
Casa Samba,1995-05-07,House of Blues Stage,6:00 PM,
Carl LeBlanc,1995-05-07,Lagniappe Tent,1:50 PM,
Pin Stripe Brass Band,1995-05-07,Parade,12:00 PM,
The Untouchables SAPC,1995-05-07,Parade,4:00 PM,
The Dirty Dozen,1995-05-07,WWL/Ray-Ban Stage,1:00 PM,
Jason Marsalis,1995-05-07,WWOZ Jazz Tent,11:40 AM,
Jason Frey,1995-04-28,Fox 38 Polaroid Stage,12:30 PM,
Terence Blanchard,1995-04-28,WWOZ Jazz Tent,5:50 PM,
Tab Benoit,1995-04-28,Music Heritage Stage,11:15 AM,
Pete Seeger  ,1995-04-28,Music Heritage Stage,2:30 PM,
Johnny Adams,1995-04-29,Congo Square Stage,2:55 PM,
Marcia Ball,1995-04-29,Fox 38/Polaroid Stage,2:50 PM,
Cowboy Mouth,1995-04-29,Fox 38/Polaroid Stage,6:00 PM,
Jimmy Dawkins,1995-04-29,House of Blues Stage,5:35 PM,
Carlos Sanchez,1995-04-29,Lagniappe Tent,5:45 PM,
N'Krumah Better Boys SAPC,1995-04-29,Parade,2:00 PM,
KAT & The Kittens,1995-04-29,WWL/Ray-Ban Stage,12:20 PM,
White Eagles,1995-04-30,Congo Square Stage,1:45 PM,
Wayne Toups,1995-04-30,Fox 38/Polaroid Stage,4:35 PM,
Rosie Ledet,1995-04-30,House of Blues Stage,12:40 PM,
Snooks Eaglin,1995-04-30,House of Blues Stage,3:00 PM,
Lavelle White,1995-04-30,House of Blues Stage,4:40 PM,
Banu Gibson,1995-04-30,Music Heritage Stage,1:00 PM,
Valley of the Silent Men SAPC,1995-04-30,Parade,2:00 PM,
Westbank Steppers SAPC,1995-04-30,Parade,2:00 PM,
New Zion Trio,1995-04-30,Rhodes Gospel Tent,12:45 PM,
Marva Wright,1995-04-30,Rhodes Gospel Tent,1:30 PM,
Clarence Carter,1995-04-30,WWL/Ray-Ban Stage,1:50 PM,
Allen Toussaint,1995-04-30,WWL/Ray-Ban Stage,3:10 PM,
Alex Chilton,1995-05-04,Fox 38/Polaroid Stage,2:45 PM,
Jessie Thomas,1995-05-04,Lagniappe Tent,12:00 PM,
Julio and Caesar,1995-05-04,Lagniappe Tent,1:25 PM,
David and Roselyn,1995-05-04,Lagniappe Tent,2:50 PM,
Coolie Family,1995-05-04,Rhodes Gospel Tent,2:00 PM,
Rebirth Brass Band,1995-05-04,WWL/Ray-Ban Stage,2:20 PM,
Koko Taylor,1995-05-05,Music Heritage Stage,4:45 PM,
9th Ward Hunters,1995-05-05,WWL/Ray-Ban Stage,12:00 PM,
Buckwheat Zydeco,1995-05-05,WWL/Ray-Ban Stage,1:20 PM,
The subdudes,1995-05-06,Fox 38/Polaroid Stage,1:40 PM,
Ivan Neville,1995-05-06,Fox 38/Polaroid Stage,4:40 PM,
The Dixie Cups,1995-05-06,Fox 38/Polaroid Stage,6:00 PM,
R.L. Burnside Band,1995-05-06,Lagniappe Tent,6:15 PM,
Kidd Jordon,1995-05-06,Music Heritage Stage,2:00 PM,
Perfect Gentlemen SAPC,1995-05-06,Parade,12:00 PM,
Devastating Ladies SAPC,1995-05-06,Parade,2:00 PM,
Original Step-N-Style SAPC,1995-05-06,Parade,2:00 PM,
Second Line Jammers SAPC,1995-05-06,Parade,4:00 PM,
Inez Andrews,1995-05-06,Rhodes Gospel Tent,3:35 PM,
Germaine Bazzle,1995-05-06,WWOZ Jazz Tent,12:20 PM,
Delfeayo Marsalis,1995-05-06,WWOZ Jazz Tent,1:40 PM,
Culu Dancers,1995-05-07,Congo Square Stage,11:10 AM,
Bamboula 2000,1995-05-07,Congo Square Stage,1:40 PM,
Deadeye Dick,1995-05-07,Fox 38/Polaroid Stage,1:30 PM,
Al Jackson,1995-05-07,Music Heritage Stage,11:15 AM,
Doc Paulin,1995-05-07,Music Heritage Stage,12:45 PM,
Algiers Steppers SAPC,1995-05-07,Parade,11:20 AM,
Jo Cool Davis,1995-05-07,Rhodes Gospel Tent,12:45 PM,
Rockin' Sidney,1995-04-28,Fox 38 Polaroid Stage,2:00 PM,
Sonny Landreth,1995-04-28,House of Blues Stage,5:40 PM,
Alvin Red Tyler Quartet,1995-04-28,WWOZ Jazz Tent,1:50 PM,
Kerry Brown Band,1995-04-28,Congo Square Stage,11:30 AM,
Ernest Jackson,1995-04-28,Congo Square Stage,1:00 PM,
Phantoms of Haiti,1995-04-28,Congo Square Stage,5:30 PM,
Alvin Red Tyler  ,1995-04-28,Music Heritage Stage,3:30 PM,
"Percussion, Inc.",1995-04-29,Congo Square Stage,12:30 PM,
Irie Vibrations,1995-04-29,Congo Square Stage,1:40 PM,
Cyril Neville,1995-04-29,Music Heritage Stage,2:20 PM,
Gina Forsyth,1995-04-29,Music Heritage Stage,3:30 PM,
Little Milton,1995-04-29,Music Heritage Stage,4:30 PM,
Al Belletto Quartet,1995-04-29,WWOZ Jazz Tent,11:30 AM,
Sterlyn Silver,1995-04-30,Congo Square Stage,3:00 PM,
SUNO Ensemble,1995-04-30,Fox 38/Polaroid Stage,11:15 AM,
Creole Wild West,1995-04-30,House of Blues Stage,11:40 AM,
Abbey Lincoln,1995-04-30,Music Heritage Stage,2:00 PM,
New Orleans Men Buckjumpers,1995-04-30,Parade,4:00 PM,
Roy Hargrove Quintet,1995-04-30,WWOZ Jazz Tent,6:00 PM,
Olodum of Brazil,1995-05-04,Congo Square Stage,4:30 PM,
Olodum of Brazil,1995-05-05,Congo Square Stage,3:00 PM,
T and T Connection,1995-05-05,Congo Square Stage,4:15 PM,
The Shepherd Band,1995-05-05,House of Blues Stage,6:00 PM,
Theron Lewis and Unit 7,1995-05-05,Lagniappe Tent,5:45 PM,
Brownie Ford,1995-05-05,Music Heritage Stage,2:45 PM,
Iguanas,1995-05-06,Bellsouth Mobility Stage,3:10 PM,
Wild Magnolias,1995-05-06,Congo Square Stage,1:40 PM,
Robert Lowery,1995-05-06,House of Blues Stage,12:30 PM,
R.L. Burnside Band,1995-05-06,House of Blues Stage,1:00 PM,
The Ian Moore Band,1995-05-06,House of Blues Stage,6:00 PM,
Inez Andrews,1995-05-06,Music Heritage Stage,12:00 PM,
Original Taylor Bunch SAPC,1995-05-06,Parade,4:00 PM,
NOCCA Jazz Ensemble,1995-05-06,WWL/Ray-Ban Stage,11:30 AM,
Marlon Jordan Quintet,1995-05-06,WWOZ Jazz Tent,3:00 PM,
Michel Camilo Quintet,1995-05-06,WWOZ Jazz Tent,5:50 PM,
Mamou,1995-05-07,Bellsouth Mobility Stage,11:15 AM,
A.J. Loria,1995-05-07,Bellsouth Mobility Stage,1:50 PM,
The Bluebirds,1995-05-07,Fox 38/Polaroid Stage,11:00 AM,
The Radiators,1995-05-07,Fox 38/Polaroid Stage,5:45 PM,
