Name,Date,Venue,Time,Notes
Lady Zulu SAPC,1994-04-24,Parade,4:00 PM,
Dr. John,1994-04-24,WWL/Ray-Ban Stage,6:00 PM,
E-La-Te,1994-04-24,Congo Square Stage,4:40 PM,
Olympia Aid SAPC,1994-04-24,Parade,2:00 PM,
Buddy Guy,1994-04-24,WWL/Ray-Ban Stage,1:55 PM,
B.B. King,1994-04-29,WWL/Ray-Ban Stage,6:00 PM,
Jolly Bunch SAPC,1994-04-30,Parade,2:00 PM,
Ry Cooder,1994-04-30,WWL/Ray-Ban Stage,5:45 PM,
Treme Brass Band,1994-05-01,Parade,2:00 PM,
Jet Setters SAPC,1994-05-01,Parade,4:00 PM,
Lil' Rascals SAPC,1994-04-22,Parade,4:00 PM,
The Elect,1994-04-22,WWL/Ray-Ban Stage,11:30 AM,
DJ Jimi,1994-04-23,Congo Square Stage,2:00 PM,
Algiers Brass Band,1994-04-23,Parade,4:00 PM,
Original Four SAPC,1994-04-23,Parade,4:00 PM,
Boz Scaggs,1994-04-23,WWL/Ray-Ban Stage,3:50 PM,
Devastation SAPC,1994-04-24,Parade,2:00 PM,
Furious Five SAPC,1994-04-24,Parade,4:00 PM,
Tornado Brass Band,1994-04-24,Parade,4:00 PM,
Gordon Bok,1994-04-28,Lagniappe Tent,5:15 PM,
Eddie Bo,1994-04-29,Congo Square Stage,3:00 PM,
Etta James,1994-04-29,WWL/Ray-Ban Stage,4:30 PM,
Willie Tee,1994-04-30,Lagniappe Tent,4:25 PM,
Taylor Bunch SAPC,1994-04-30,Parade,2:00 PM,
Lady Sequence SAPC,1994-04-30,Parade,4:00 PM,
Money Wasters SAPC,1994-04-30,Parade,4:00 PM,
Prince of Wales SAPC,1994-04-30,Parade,4:00 PM,
Robert Cray,1994-04-30,WWL/Ray-Ban Stage,4:15 PM,
The Band,1994-04-22,Fox 38/Polaroid Stage,4:00 PM,
Giant Steps,1994-04-22,Lagniappe Tent,1:25 PM,
John Rankin,1994-04-23,Lagniappe Tent,4:20 PM,
Michael Ray,1994-04-23,Lagniappe Tent,5:45 PM,
Untouchables SAPC,1994-04-23,Parade,2:00 PM,
Westbank Seven SAPC,1994-04-23,Parade,2:00 PM,
The subdudes,1994-04-23,WWL/Ray-Ban Stage,2:20 PM,
Al Hirt,1994-04-24,Cox Cable Economy Hall,3:25 PM,
Marcia Ball,1994-04-24,WWL/Ray-Ban Stage,12:30 PM,
Bon Temps Roulez SAPC,1994-04-28,Parade,4:00 PM,
Jo-el Sonnier,1994-04-28,WWL/Ray-Ban Stage,12:00 PM,
Evangeline,1994-04-28,WWL/Ray-Ban Stage,1:25 PM,
BeauSoleil,1994-04-28,WWL/Ray-Ban Stage,6:00 PM,
Pinettes Brass Band,1994-04-29,Parade,4:00 PM,
Roland Stone,1994-04-29,WWL/Ray-Ban Stage,1:15 PM,
Mojo Nya,1994-05-01,Congo Square Stage,12:40 PM,
Scene Boosters SAPC,1994-05-01,Parade,2:00 PM,
Johnny Adams,1994-05-01,WWL/Ray-Ban Stage,2:00 PM,
RAM of Haiti,1994-04-22,Congo Square Stage,6:00 PM,
Tab Benoit,1994-04-22,House of Blues Stage,5:45 PM,
Rooster,1994-04-22,Music Heritage Tent,2:30 PM,
Looney Tunes Brass Band,1994-04-22,Parade,4:00 PM,
Steppin' in Style SAPC,1994-04-22,Parade,4:00 PM,
Little Richard,1994-04-22,WWL/Ray-Ban Stage,5:30 PM,
Dixie Cups,1994-04-23,Fox 38/Polaroid Stage,6:00 PM,
R.L. Burnside,1994-04-23,Lagniappe Tent,12:50 PM,
Soul Rebels Brass Band,1994-04-23,Parade,2:00 PM,
Golden Trumpets SAPC,1994-04-23,Parade,4:00 PM,
Max Roach,1994-04-23,WWOZ/BET on Jazz Jazz Tent,5:15 PM,
G.G. Shinn,1994-04-24,Fox 38/Polaroid Stage,1:00 PM,
