Name,Date,Venue,Time,Notes
Bryan Lee,1988-04-22,Fess Stage,3:00 PM,
Taj Mahal,1988-04-22,Fess Stage,4:30 PM,
B.B. King,1988-04-23,Fess Stage,5:00 PM,
Los Lobos,1988-04-30,Fess Stage,4:30 PM,
Waka! Waka!,1988-04-22,Fess Stage,12:30 PM,
Kenny G,1988-04-23,The President,7:00 PM,
Alex Green,1988-05-01,Fess Stage,4:10 PM,
Miss Maggie,1988-04-22,Fess Stage,3:00 PM,
Blue Monday SAPC,1988-04-22,Parade,5:50 PM,
B.B. King,1988-04-22,The President,12:00 AM,
B.B. King,1988-04-22,The President,7:00 PM,
Kenny G,1988-04-23,The President,12:00 AM,
James Brown,1988-04-24,Fess Stage,3:45 PM,
Ladies Zulu SAPC,1988-04-24,Parade,3:00 PM,
Little Feat,1988-04-30,Fess Stage,6:00 PM,
Treme Sports SAPC,1988-04-30,Parade,,
Fun Lovers SAPC,1988-05-01,Parade,3:00 PM,
NOCCA,1988-04-22,Congo Square Stage,11:45 AM,
Money Wasters SAPC,1988-04-22,Parade,5:50 PM,
Cissy Houston,1988-04-23,Fess Stage,3:30 PM,
Buck Jumpers SAPC,1988-04-23,Parade,2:45 PM,
Rebirth Brass Band,1988-04-23,Parade,2:45 PM,
Mighty Sparrow,1988-04-24,Fess Stage,2:15 PM,
Celia Cruz,1988-04-28,The President,8:00 PM,
The Nighthawks,1988-04-29,Fess Stage,4:00 PM,
Jass Cats Brass Band,1988-04-29,Parade,5:00 PM,
Original Four SAPC,1988-04-29,Parade,5:00 PM,
Jon King Cleary,1988-04-30,Fess Stage,11:20 AM,
Charles Brown,1988-04-30,Fess Stage,1:45 PM,
The Radiators,1988-04-30,Fess Stage,3:00 PM,
Pinstripe Brass Band,1988-04-30,Parade,,
Exuma,1988-05-01,Congo Square Stage,5:30 PM,
Olympia Jr. Brass Band,1988-04-22,Parade,5:50 PM,
John Hammond,1988-04-22,The President,7:00 PM,
Lee Ritenour,1988-04-23,The President,7:00 PM,
Asleep at the Wheel,1988-04-29,Fess Stage,5:30 PM,
