Name,Date,Venue,Time,Notes
Nicholas Payton 2020,2020-04-26,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID 19 pandemic
AM ,2020-05-03,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID 19 pandemic
Dawn,2020-04-23,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID-19 pandemic
LYON,2020-04-24,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID-19 pandemic
DJ RO,2020-04-24,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID-19 pandemic
HER,2020-04-25,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID-19 pandemic
The Who,2020-04-25,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID-19 pandemic
Pell,2020-04-25,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID-19 pandemic
Lizzo,2020-05-02,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID 19 pandemic
Jacye,2020-04-26,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID-19 pandemic
Cha Wa,2020-04-26,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID-19 pandemic
Keb Mo,2020-05-02,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID 19 pandemic
PJ Morton,2020-05-02,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID 19 pandemic
TMonde,2020-05-02,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID 19 pandemic
Nicky Jam,2020-05-02,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID 19 pandemic
Muevelo,2020-05-02,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID 19 pandemic
MoFess,2020-05-03,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID 19 pandemic
Esencia,2020-04-25,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID-19 pandemic
AJ Loria,2020-04-30,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID 19 pandemic
GIVERS,2020-04-23,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID-19 pandemic
Jai Reed,2020-04-26,N/A,N/A,Jazz Fest 2020 was cancelled due to the COVID-19 pandemic
