Name,Date,Venue,Time,Notes
Edu,1983-04-29,Stage 2,3:30 PM,
ELS,1983-05-01,Stage 1,12:15 PM,
Rize,1983-05-01,Stage 3,1:15 PM,
Svare,1983-04-29,Gazebo,2:45 PM,
New Games,1983-04-29,Kids  ,5:00 PM,
Bourre,1983-04-29,Stage 2,4:45 PM,
Design,1983-04-29,Stage 4,1:15 PM,
New Games,1983-04-30,Kids  ,1:00 PM,
Tom Foote,1983-04-30,Kids  ,5:00 PM,
Kush,1983-04-30,Koindu,12:45 PM,
Solar,1983-04-30,Koindu,5:15 PM,
Dr. John,1983-04-30,Stage 1,6:00 PM,
New Games,1983-05-01,Kids  ,1:00 PM,
Exuma,1983-05-01,Koindu,4:00 PM,
Al Green,1983-05-01,Stage 1,6:00 PM,
A-Train,1983-05-01,Stage 2,2:45 PM,
Tom Foote,1983-05-08,Kids  ,3:00 PM,
Tom Foote,1983-05-08,Kids  ,5:00 PM,
Ngoma,1983-05-08,Koindu,1:30 PM,
Al Hirt,1983-05-08,Stage 4,3:30 PM,
The Works,1983-04-29,Stage 4,2:45 PM,
Roy Ayers,1983-05-07,Stage 4,2:15 PM,
Taj Mahal,1983-05-08,Stage 3,4:15 PM,
Cush Cush,1983-04-29,Stage 2,12:45 PM,
Bongo Joe,1983-04-30,Gazebo,4:15 PM,
Lee Dorsey,1983-04-30,Stage 1,3:00 PM,
The Sheiks,1983-04-30,Stage 3,2:45 PM,
Bongo Joe,1983-05-01,Gazebo,2:45 PM,
Caliente,1983-05-01,Stage 1,1:45 PM,
Chaka Kahn,1983-05-01,Stage 4,4:45 PM,
Willie Tee,1983-05-08,Stage 1,1:45 PM,
John Rankin,1983-04-29,Gazebo,4:00 PM,
Aline White,1983-04-29,Gospel,1:30 PM,
Lusher Choir,1983-04-30,Kids  ,12:00 PM,
Banda Fiebre,1983-04-30,Stage 1,1:30 PM,
Los Banditos,1983-04-30,Stage 3,5:30 PM,
Roy Orbison,1983-04-30,Stage 4,3:45 PM,
Windjammer,1983-04-30,Stage 4,5:15 PM,
Bongo Joe,1983-05-01,Gazebo,12:45 PM,
Priscilla,1983-05-01,Stage 3,12:00 PM,
UNO Jazz Band,1983-05-01,Stage 4,11:45 AM,
