Name,Date,Venue,Time,Notes
RZA,1982-04-30,Stage 3,12:45 PM,
Mars,1982-05-01,Stage 3,5:45 PM,
New Games,1982-04-30,Kids  ,3:00 PM,
Jasmine,1982-05-01,Jazz,2:30 PM,
New Games,1982-05-01,Kids  ,1:00 PM,
Ms. Salley,1982-05-01,Kids  ,3:00 PM,
The Cold,1982-05-01,Stage 1,1:45 PM,
New Games,1982-05-02,Kids  ,1:00 PM,
Ngoma,1982-05-02,Koindu,2:30 PM,
Dr. John,1982-05-02,Stage 1,6:15 PM,
Odetta,1982-05-02,Stage 2,5:45 PM,
New Games,1982-05-08,Kids  ,1:00 PM,
Tom Foote,1982-05-08,Kids  ,2:00 PM,
A. J. Loria,1982-05-09,Gazebo B,1:15 PM,
New Games,1982-05-09,Kids  ,1:00 PM,
Exuma,1982-05-09,Koindu,4:00 PM,
NOCCA,1982-05-09,Stage 2,12:45 PM,
B.B. King,1982-05-09,Stage 4,4:15 PM,
Caleb-El,1982-05-08,Koindu,1:00 PM,
Ayocuan,1982-05-09,Stage 2,5:30 PM,
Jest Klowns,1982-04-30,Kids  ,1:00 PM,
Aubrey Inc.,1982-04-30,Stage 4,3:45 PM,
Willie Tee,1982-05-01,Stage 1,3:00 PM,
Jest Klowns,1982-05-02,Kids  ,5:00 PM,
Lee Dorsey,1982-05-02,Stage 4,3:45 PM,
Bongo Joe,1982-05-08,Gazebo A,1:30 PM,
Ayocuan,1982-05-08,Koindu,4:15 PM,
Rock-A-Byes,1982-05-08,Stage 3,12:45 PM,
Dixie Kups,1982-05-08,Stage 4,1:15 PM,
Bongo Joe,1982-05-09,Gazebo A,1:00 PM,
Will Soto,1982-05-09,Gazebo A,2:45 PM,
James Black,1982-05-09,Jazz,3:45 PM,
Jest Klowns,1982-05-09,Kids  ,5:00 PM,
Caliente,1982-05-09,Stage 1,2:45 PM,
Etta James,1982-05-09,Stage 1,5:00 PM,
John Rankin,1982-04-30,Gazebo A,2:45 PM,
Alvin Batiste,1982-04-30,Jazz,4:00 PM,
Porgy Jones,1982-04-30,Koindu,1:30 PM,
Banda Fiebre,1982-04-30,Stage 1,2:45 PM,
Traffic Jam,1982-04-30,Stage 4,1:15 PM,
Jim Turner,1982-05-01,Gazebo A,1:45 PM,
Aesop's Fables,1982-05-01,Kids  ,4:00 PM,
Doug Kershaw,1982-05-01,Stage 1,6:15 PM,
James Booker,1982-05-01,Stage 2,4:15 PM,
UNO Jazz Band,1982-05-01,Stage 4,12:15 PM,
Fats Domino,1982-05-01,Stage 4,4:45 PM,
Hot Strings,1982-05-02,Gazebo B,5:30 PM,
Muchos Plus,1982-05-02,Koindu,1:15 PM,
Night Breeze,1982-05-02,Stage 2,3:30 PM,
Radiators,1982-05-02,Stage 4,2:45 PM,
Chuck Berry,1982-05-02,Stage 4,4:45 PM,
Willie Soto,1982-05-08,Gazebo A,4:45 PM,
John Mooney,1982-05-08,Gazebo B,1:00 PM,
Danny Barker ,1982-05-08,Jazz,5:45 PM,
Aesop's Fables,1982-05-08,Kids  ,4:00 PM,
Rita Marley,1982-05-08,Stage 4,3:45 PM,
Cousin Joe,1982-05-09,Gazebo B,5:00 PM,
Irma Thomas,1982-05-09,Stage 1,4:00 PM,
James Booker,1982-05-09,Stage 2,4:15 PM,
Scooter Lee,1982-05-09,Stage 4,1:45 PM,
Cindy Titzer,1982-04-30,Gazebo A,1:30 PM,
Oliver Morgan,1982-04-30,Stage 3,5:00 PM,
BeauSoleil,1982-05-01,Gazebo B,4:45 PM,
The Ott Family,1982-05-01,Gospel,4:40 PM,
Astral Project,1982-05-01,Jazz,3:45 PM,
Rusty Kershaw,1982-05-01,Stage 1,5:15 PM,
Irving McLean,1982-05-01,Stage 3,4:30 PM,
Sonora Latina,1982-05-01,Stage 4,1:15 PM,
Dr. John,1982-05-01,The President,8:00 PM,
Sunbeam Choir,1982-05-02,Kids  ,12:00 PM,
Antonio York,1982-05-02,Koindu,3:30 PM,
Los Catrachos,1982-05-02,Stage 3,2:45 PM,
Exuma,1982-05-07,The President,8:00 PM,
George Dorko,1982-05-08,Gazebo A,3:30 PM,
Pete Fountain,1982-05-08,Stage 1,5:00 PM,
Earl Turbinton,1982-05-09,Jazz,5:00 PM,
Blues Rockers,1982-05-09,Stage 3,5:15 PM,
Los Bandidos,1982-05-09,Stage 4,12:45 PM,
Edward Frank Group,1982-04-30,Jazz,1:45 PM,
Tony Bazley Sextet,1982-04-30,Jazz,5:00 PM,
Bourre Cajun Band,1982-04-30,Stage 2,3:30 PM,
Copas Brothers,1982-04-30,Stage 3,2:00 PM,
Pfister Sisters,1982-04-30,Stage 3,3:00 PM,
Butch Mudbone ,1982-05-01,Gazebo A,3:00 PM,
Scott Goudeau,1982-05-01,Gazebo B,1:15 PM,
Snooks Eaglin,1982-05-01,Gazebo B,2:30 PM,
Wynton Marsalis  ,1982-05-01,Jazz,5:00 PM,
Louis Nelson Big Six,1982-05-01,Jazz,6:00 PM,
Voodoo Macumba,1982-05-01,Koindu,2:30 PM,
Family Players,1982-05-01,Stage 1,12:30 PM,
Carlos Sanchez ,1982-05-01,Stage 2,3:15 PM,
Onward Brass Band,1982-05-01,Stage 4,3:30 PM,
Spencer Bohren,1982-05-02,Gazebo A,4:15 PM,
St. Monica Kings,1982-05-02,Gospel,2:40 PM,
Voices of Faith,1982-05-02,Gospel,4:00 PM,
James Drew Quartet,1982-05-02,Jazz,3:00 PM,
Fun Lovers SAPC,1982-05-02,Parade,2:15 PM,
Percy Mayfield,1982-05-02,Stage 1,5:00 PM,
New Jazz Quintet,1982-05-02,Stage 3,6:00 PM,
Tulane Big Band,1982-05-02,Stage 4,12:15 PM,
St. Luke AME Choir,1982-05-08,Gospel,2:00 PM,
Fred Kemp Quintet,1982-05-08,Jazz,12:30 PM,
Richie Havens,1982-05-08,Koindu,5:30 PM,
Roosevelt Sykes,1982-05-08,Stage 2,4:15 PM,
Rusty Mayne Trio,1982-05-08,Stage 2,5:15 PM,
Tim Williams Band,1982-05-08,Stage 3,2:00 PM,
Zachary Richard,1982-05-08,Stage 3,4:30 PM,
B.B. King,1982-05-08,The President,8:00 PM,
Big Jumpers SAPC,1982-05-09,Parade,2:45 PM,
Ladies Zulu SAPC,1982-05-09,Parade,2:45 PM,
Olympia Aid SAPC,1982-05-09,Parade,2:45 PM,
Allen Toussaint,1982-05-09,Stage 1,6:15 PM,
Tuts Washington,1982-05-09,Stage 2,3:15 PM,
